t,alpha_0,alpha_1,pos_prev_0,pos_prev_1,pos_new_0,pos_new_1
111,0.4728166,0.37879714,-427.87946,432.56833,-424.6962,428.59225
112,-1.8861774,0.94082105,-424.6962,428.59225,-406.98434,413.43564
113,-2.3640776,-0.115710855,-406.98434,413.43564,-387.8678,394.54474
114,-1.8036177,-0.95020574,-387.8678,394.54474,-373.844,379.39847
115,-3.5164292,0.36972022,-373.844,379.39847,-347.74597,355.43286
116,-2.3400517,-1.3199353,-347.74597,355.43286,-331.3651,337.1246
117,-1.9295237,-1.3249359,-331.3651,337.1246,-318.32764,323.20706
118,-1.1701262,-1.3600869,-318.32764,323.20706,-310.22412,314.0592
119,-0.8439069,0.044854283,-310.22412,314.0592,-301.4827,305.4855
120,-3.0283966,0.25260884,-301.4827,305.4855,-279.75555,286.04562
121,-2.5003908,-0.09393591,-279.75555,286.04562,-261.0197,266.81125
122,-3.3177621,0.5735171,-261.0197,266.81125,-236.5036,243.24962
123,-3.5405817,1.0258318,-236.5036,243.24962,-209.57408,216.72133
124,-2.9181695,1.0634253,-209.57408,216.72133,-186.17212,192.56233
125,-3.5564847,0.39813662,-186.17212,192.56233,-161.12852,167.4544
126,-2.3102055,-0.25352195,-161.12852,167.4544,-144.90172,149.46304
127,-1.9656065,0.5029265,-144.90172,149.46304,-129.85483,134.05185
128,-1.5481995,-0.4176189,-129.85483,134.05185,-119.55304,122.65445
129,-0.56358624,-0.38088614,-119.55304,122.65445,-115.42937,117.273834
130,-0.5347715,1.5265179,-115.42937,117.273834,-107.81726,110.415634
131,0.67267853,0.16752565,-107.81726,110.415634,-110.44248,111.04811
132,1.108304,-0.22768137,-110.44248,111.04811,-117.48322,117.07321
133,1.2632002,-1.0512713,-117.48322,117.07321,-127.32856,126.244156
134,1.147773,-2.0525045,-127.32856,126.244156,-138.65416,137.15462
135,0.018024325,-1.2463416,-138.65416,137.15462,-141.81863,141.92033
136,-0.2192235,-0.24438578,-141.81863,141.92033,-140.5114,141.73135
137,-0.62775016,0.5727476,-140.5114,141.73135,-134.51865,136.78777
138,-1.9148417,1.4857795,-134.51865,136.78777,-118.67242,122.86513
139,-3.866002,2.3735242,-118.67242,122.86513,-88.96077,95.5293
140,-4.292096,3.0162578,-88.96077,95.5293,-55.480404,62.701836
141,-4.15334,1.88123,-55.480404,62.701836,-26.314045,32.4607
142,-4.3093667,0.8157401,-26.314045,32.4607,0.60957146,4.682373
143,-3.46248,0.49588785,0.60957146,4.682373,17.870277,-14.660244
144,-3.2726712,0.5375757,17.870277,-14.660244,34.341766,-30.590134
145,-3.524897,-0.4324736,34.341766,-30.590134,53.22463,-48.899567
146,-3.300059,0.45969555,53.22463,-48.899567,74.09568,-69.55026
147,-3.0470665,0.3434783,74.09568,-69.55026,93.380295,-89.142914
148,-3.5438733,1.1733115,93.380295,-89.142914,116.701256,-111.50182
149,-3.8829937,1.0179018,116.701256,-111.50182,141.48572,-135.79228
150,-2.904045,-0.33609408,141.48572,-135.79228,157.80923,-153.4623
151,-3.5573337,0.6743895,157.80923,-153.4623,179.17667,-173.75867
152,-3.7897274,0.27252388,179.17667,-173.75867,201.05592,-195.34958
153,-2.6472826,-0.5773275,201.05592,-195.34958,214.5187,-210.11072
154,-3.909384,0.84448874,214.5187,-210.11072,237.35043,-231.11627
155,-3.6509576,0.8285564,237.35043,-231.11627,258.85934,-252.51894
156,-0.8947692,-2.2272801,258.85934,-252.51894,257.93878,-255.58871
157,-1.681988,-1.5575781,257.93878,-255.58871,262.03485,-258.98654
158,-1.7093352,-1.7186236,262.03485,-258.98654,266.08682,-262.99146
159,-0.3798337,-1.5204995,266.08682,-262.99146,262.73764,-260.79324
160,-0.11101359,-2.2597816,262.73764,-260.79324,256.31345,-255.09491
161,0.71936333,-3.0000684,256.31345,-255.09491,243.95554,-243.93982
162,-0.6890719,-0.9581996,243.95554,-243.93982,243.16534,-241.10147
163,-0.5681772,-1.0436063,243.16534,-241.10147,241.92464,-239.83643
164,-2.0353746,0.5899076,241.92464,-239.83643,252.49976,-248.20383
165,-2.44003,0.6987678,252.49976,-248.20383,266.06842,-261.02878
166,-1.6346958,-0.13013387,266.06842,-261.02878,273.51562,-269.44196
167,-2.1401055,0.1138782,273.51562,-269.44196,283.83923,-279.24063
168,-2.811922,0.2744326,283.83923,-279.24063,298.28745,-292.85236
169,-2.4785333,-0.6917281,298.28745,-292.85236,309.01318,-304.1578
170,-3.5671961,-0.024617314,309.01318,-304.1578,326.84833,-320.64572
171,-4.499268,1.1477027,326.84833,-320.64572,352.39355,-344.4798
172,-2.794474,-1.2817122,352.39355,-344.4798,363.7532,-358.2186
173,-3.2609034,0.081012905,363.7532,-358.2186,379.39673,-372.97385
174,-4.08064,1.6224053,379.39673,-372.97385,402.73544,-394.59293
175,-2.6616163,1.6495914,402.73544,-394.59293,418.20404,-411.02945
176,-2.8261232,2.3806098,418.20404,-411.02945,435.5124,-427.82697
177,-3.9435658,2.0751188,435.5124,-427.82697,458.45068,-449.68893
178,-4.5749974,1.0190576,458.45068,-449.68893,482.86295,-473.74356
179,-5.292174,2.0456622,482.86295,-473.74356,513.0859,-502.5878
180,-2.8923573,-0.82043016,513.0859,-502.5878,524.3492,-517.0558
181,-2.1136756,-1.1010237,524.3492,-517.0558,529.4187,-523.2767
182,-1.7549608,-0.7118633,529.4187,-523.2767,532.76215,-526.862
183,-1.5127474,0.8738967,532.76215,-526.862,537.75934,-531.31006
184,-1.4183376,1.1502357,537.75934,-531.31006,542.8189,-536.2341
185,-1.3965291,1.4004605,542.8189,-536.2341,548.1845,-541.45276
186,-2.220202,2.0121965,548.1845,-541.45276,559.31415,-551.47894
187,-0.5368711,0.43549246,559.31415,-551.47894,557.7668,-552.1021
188,0.7494758,-0.93909955,557.7668,-552.1021,545.50525,-541.9749
189,0.9774884,-1.2112557,545.50525,-541.9749,531.43475,-528.4905
190,1.3230515,-1.2645001,531.43475,-528.4905,515.4826,-513.02716
191,1.2824496,-1.4933143,515.4826,-513.02716,499.49677,-497.26636
192,1.5948737,-1.8094962,499.49677,-497.26636,481.392,-479.72934
193,1.2677696,-0.18375826,481.392,-479.72934,468.25256,-465.71555
194,1.238681,-0.029087916,468.25256,-465.71555,455.8155,-453.21268
195,-0.083880424,-0.09953351,455.8155,-453.21268,450.73132,-447.0437
196,-1.3515129,0.3992148,450.73132,-447.0437,454.49307,-449.2443
197,-0.42297465,-1.392743,454.49307,-449.2443,449.39722,-445.77966
198,-1.2364539,-0.09071982,449.39722,-445.77966,451.46515,-446.59418
199,-1.5118568,0.6842446,451.46515,-446.59418,456.99088,-451.329
